City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,suleja,9.1758,7.1808,70.79,97,100,2.91,NG,1627449610
198,tynda,55.1667,124.7167,64.0,96,100,1.68,RU,1627449611
199,tiksi,71.6872,128.8694,41.95,78,10,13.58,RU,1627449611
200,fortuna,40.5982,-124.1573,71.47,90,100,3.22,US,1627449611
201,raahe,64.6833,24.4833,70.2,68,71,3.18,FI,1627449612
202,talagang,32.9297,72.4158,93.4,50,62,14.83,PK,1627449612
203,olafsvik,64.8945,-23.7142,51.03,90,98,14.0,IS,1627449612
204,hofn,64.2539,-15.2082,54.34,80,100,5.88,IS,1627449613
205,novo oriente,-5.5344,-40.7742,74.28,50,29,3.29,BR,1627449613
206,labelle,26.7617,-81.4384,80.98,84,84,3.13,US,1627449614
207,vila velha,-20.3297,-40.2925,71.55,83,0,6.91,BR,1627449614
208,fort collins,40.5853,-105.0844,80.92,51,1,1.01,US,1627449363
209,linxia,35.6003,103.2064,76.32,35,26,3.69,CN,1627449615
210,taunggyi,20.7833,97.0333,68.7,86,100,6.4,MM,1627449615
211,sulecin,52.4443,15.1168,70.09,74,98,2.98,PL,1627449615
212,avera,33.194,-82.5271,80.71,81,93,4.45,US,1627449616
213,vigrestad,58.5667,5.7,62.96,90,92,14.45,NO,1627449616
214,klaksvik,62.2266,-6.589,50.92,94,98,2.57,FO,1627449616
215,vaitape,-16.5167,-151.75,77.14,76,70,7.2,PF,1627449617
216,port elizabeth,-33.918,25.5701,55.69,82,0,8.05,ZA,1627449617
217,novyy urengoy,66.0833,76.6333,58.6,59,97,8.48,RU,1627449618
218,rongcheng,30.634,117.8517,86.16,79,99,8.66,CN,1627449618
219,ormara,25.2088,64.6357,82.78,85,99,16.6,PK,1627449618
220,bambous virieux,-20.3428,57.7575,70.05,78,75,18.41,MU,1627449619
221,aguas formosas,-17.0822,-40.9358,63.28,88,2,3.42,BR,1627449619
222,whitehorse,60.7161,-135.0538,59.31,62,75,15.01,CA,1627449620
223,north bend,43.4065,-124.2243,60.24,87,1,10.36,US,1627449620
224,koutiala,12.3917,-5.4642,74.98,89,99,7.18,ML,1627449620
225,alta floresta,-9.8756,-56.0861,69.98,48,2,4.09,BR,1627449621
226,lovozero,68.005,35.0117,56.01,78,70,8.55,RU,1627449621
227,vestmannaeyjar,63.4427,-20.2734,52.5,84,44,3.78,IS,1627449621
228,sao filipe,14.8961,-24.4956,73.69,81,9,8.05,CV,1627449622
229,shimanovsk,52.0,127.7,78.13,74,76,7.63,RU,1627449622
230,katangli,51.7102,143.2326,73.62,77,99,5.93,RU,1627449623
231,shwebo,22.5667,95.7,75.65,93,100,8.75,MM,1627449623
232,yulara,-25.2406,130.9889,76.84,29,40,5.75,AU,1627449624
233,port macquarie,-31.4333,152.9167,80.56,44,4,10.83,AU,1627449624
234,mercedes,-34.6515,-59.4307,43.86,65,60,13.78,AR,1627449624
235,ratnagiri,16.9833,73.3,81.86,80,67,17.74,IN,1627449625
236,danshui,22.7984,114.4672,93.07,53,95,4.0,CN,1627449625
237,sao domingos,-13.3983,-46.3183,65.39,45,5,3.27,BR,1627449625
238,shasta lake,40.6804,-122.3708,74.75,66,85,4.92,US,1627449626
239,steamboat springs,40.485,-106.8317,78.39,42,1,3.44,US,1627449626
240,qaqortoq,60.7167,-46.0333,43.3,80,100,1.21,GL,1627449627
241,novo aripuana,-5.1206,-60.3797,73.04,59,3,1.81,BR,1627449627
242,concordia,-31.393,-58.0209,39.78,74,32,3.0,AR,1627449628
243,changde,29.0464,111.6783,91.11,59,2,11.3,CN,1627449628
244,ambilobe,-13.2,49.05,72.18,63,1,3.15,MG,1627449628
245,ostrovnoy,68.0531,39.5131,46.22,96,100,5.93,RU,1627449629
246,manicore,-5.8092,-61.3003,73.35,94,0,0.0,BR,1627449629
247,san vicente,-26.6167,-54.1333,32.43,70,0,2.3,AR,1627449630
248,juneau,58.3019,-134.4197,58.84,91,90,5.75,US,1627449630
249,salalah,17.0151,54.0924,78.89,94,90,8.05,OM,1627449630
250,brandon,27.9378,-82.2859,84.85,93,1,0.0,US,1627449631
